Krabi,5674544.00,6406489.67,7024516.24,7611582.00,8002972.00,8000205.00,8598013.00,9135630.00,9676991.00,10183826.00,26976.80
Chumphon,8053981.00,8749908.00,9200176.00,10008102.70,10688807.45,10700427.00,11347715.90,11926776.20,12557222.00,12729094.83,40424.00
Trang ,6193219.60,6870268.00,7240608.50,7829144.00,8627747.45,8629499.00,8977431.00,9321105.00,9623091.00,9707496.40,36676.80
Nakhon Si Thammarat ,7856840.00,8654983.85,8934739.70,9741705.20,10553701.50,10699173.20,11774834.20,11871683.60,12141317.00,12492805.70,44160.70
Narathiwat,4792142.00,5157971.00,5298928.00,5644356.00,6168078.00,6451494.00,6903961.50,6859346.00,7074987.00,7518160.79,24331.30
Pattani,376730.00,380567.00,395742.00,410313.00,421080.00,429294.00,446757.00,444086.00,444670.00,446105.00,2301.50
Phangnga,2311121.00,2470385.00,2603981.00,2842888.00,2932080.00,3007162.00,3359056.00,3694651.00,4087557.00,4490094.00,12369.60
Phatthalung,2791966.00,3076514.00,3160046.00,3441162.00,3728487.00,3773311.00,4169198.00,4262125.00,4206412.00,4184890.00,17022.90
Phuket,10952204.00,12636218.00,14879023.00,15762011.00,16854391.00,17449606.00,18890381.00,19948039.00,19967042.00,20163028.00,40048.00
Yala,2392254.00,2407400.00,2459204.00,2596064.00,2740936.00,2888685.00,3043623.00,2975900.00,3011521.00,2983114.00,11135.20
Ranong,3325327.00,3655480.00,3892965.00,4098087.00,4372215.00,4241273.00,4439802.00,4456880.00,4562544.00,4617163.00,14634.60
Songkhla,27399055.49,29423797.70,30864773.10,32417101.50,35751316.70,35631968.10,38335328.80,40401801.10,41288251.00,41864258.00,116416.00
Satun,3232850.00,3543335.00,3669703.00,3895546.00,4289780.00,4462078.00,4652001.50,4767874.00,4784673.00,4909788.00,18827.00
Surat Thani,19965984.00,22849783.00,24390118.00,25627680.00,26405654.60,25626685.50,28365565.00,29600887.00,30303369.00,31083406.00,95136.00
Bankok,383333333.30,401333333.00,411000000.00,410000000.00,421333333.30,420666666.70,430666666.70,446000000.00,450333333.30,461000000.00,662913.00
Samut Prakan,383333333.30,401333333.00,411000000.00,410000000.00,421333333.30,420666666.70,430666666.70,446000000.00,450333333.30,461000000.00,662913.00
Nonthaburi,383333333.30,401333333.00,411000000.00,410000000.00,421333333.30,420666666.70,430666666.70,446000000.00,450333333.30,461000000.00,662913.00
